Horodateur	Si votre lit disposait d'un système de réveil par vibrations, qu'en penseriez-vous ?	Si votre lit NE disposait PAS d'un système de réveil par vibrations, qu'en penseriez-vous ?	Si votre lit disposait d'un système de réveil audio, qu'en penseriez-vous ?	Si votre lit NE disposait PAS d'un système de réveil audio, qu'en penseriez-vous ?	Si votre lit disposait d'une fonction d'analyse de sommeil, qu'en penseriez-vous ?	Si vous aviez un lit SANS analyse de sommeil, qu'en penseriez-vous ?	Si votre lit avait la possiblité de vous faire des massages, qu'en penseriez-vous ?	Si vous aviez un lit SANS possibilité de massage, qu'en penseriez-vous ?	Si votre lit présentait des interconnexions domotiques (lumière, stores, etc.), qu'en penseriez-vous ?	Si vous aviez un lit SANS possibilité domotique, qu'en penseriez-vous ?	Si votre lit integrait une fonction "ne pas déranger", qu'en penseriez-vous ?	Si vous aviez un lit SANS fonction "ne pas déranger", qu'en penseriez-vous ?	Si votre lit comprenait une fonction de chauffage pour l'hiver, qu'en penseriez-vous ? 	Si vous n'aviez PAS de fonction de chauffage dans votre lit, qu'en penseriez-vous ?	Si votre lit comprenait une fonction de climatisation pour l'été, qu'en penseriez-vous ?	Si vous n'aviez PAS de fonction de climatisation dans votre lit, qu'en penseriez-vous ?	Si votre lit pouvait être réglable au niveau du sommier et des pieds, qu'en penseriez-vous ?	Si vous NE pouviez PAS régler votre lit au niveau du sommier et des pieds, qu'en penseriez-vous ?	Si votre lit vous permettait de manger dedans à l'aide d'un plateau réglable, qu'en penseriez-vous ?	Si vous NE pouviez PAS manger dans votre lit à l'aide d'un plateau réglable, qu'en penseriez-vous ?	Si votre lit pouvait être facilement rangé et compacté, qu'en penseriez-vous ?	Si vous NE pouviez PAS compacter votre lit facilement, qu'en penseriez-vous ?
12/10/2021 18:01:09	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️
12/10/2021 18:01:44	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me plaît 🤩	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️
12/10/2021 18:02:17	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela est normal ainsi 🙂	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑
12/10/2021 18:03:18	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela est normal ainsi 🙂
12/10/2021 18:12:30	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️
12/10/2021 18:13:02	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Je m'en contente 😑	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Cela me déplaît ☹️	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Je m'en contente 😑	Cela me plaît 🤩	Je m'en contente 😑
12/10/2021 18:17:07	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂
12/10/2021 18:17:12	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️
12/10/2021 18:20:25	Cela me déplaît ☹️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️
12/10/2021 18:22:55	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️
